id,question,difficulty,category,date
53,What is the difference between a loss function and an objective function?,Medium,Machine Learning,2025-01-26
54,What is semi-supervised learning?,Hard,Machine Learning,2025-03-02
55,How do you handle multicollinearity in a regression model?,Easy,Machine Learning,2025-02-24
56,What is the difference between linear and polynomial regression?,Easy,Machine Learning,2025-03-25
57,How would you validate a time series forecasting model?,Hard,Machine Learning,2024-08-25
58,What is SMOTE and when would you use it?,Hard,Machine Learning,2025-07-08
59,How does gradient boosting differ from AdaBoost?,Easy,Machine Learning,2025-06-28
60,What is a pipeline in machine learning and why is it useful?,Medium,Machine Learning,2025-06-24
61,How do you choose the number of clusters in k-means?,Medium,Machine Learning,2024-09-17
62,What is the difference between Type I and Type II errors?,Easy,Machine Learning,2024-08-29
63,What is Bayesian optimization and how is it used in hyperparameter tuning?,Hard,Machine Learning,2025-02-20
64,What is the difference between training error and generalization error?,Hard,Machine Learning,2025-01-18
65,How do you handle categorical variables in machine learning?,Hard,Machine Learning,2024-09-22
66,What is one-hot encoding and when should you use it?,Medium,Machine Learning,2024-12-03
67,What is label encoding and what are its risks?,Medium,Machine Learning,2024-11-04
68,How do you approach feature engineering?,Easy,Machine Learning,2024-11-03
69,What is the difference between a model and an algorithm?,Easy,Machine Learning,2025-04-29
70,What is reinforcement learning and how does it differ from supervised learning?,Hard,Machine Learning,2025-03-15
71,How would you explain the concept of entropy in decision trees?,Hard,Machine Learning,2024-10-08
72,What is information gain in the context of decision trees?,Hard,Machine Learning,2025-03-02
73,What is Gini impurity and how is it used in decision trees?,Easy,Machine Learning,2024-10-30
74,How does the DBSCAN clustering algorithm work?,Medium,Machine Learning,2024-12-18
75,What is hierarchical clustering and when would you use it?,Hard,Machine Learning,2025-03-22
76,What is A/B testing and how is it related to machine learning experiments?,Easy,Machine Learning,2024-12-03
77,How would you handle a dataset with highly correlated features?,Medium,Machine Learning,2024-09-05
78,What is isotonic regression?,Medium,Machine Learning,2025-03-12
79,What is Gaussian mixture model (GMM)?,Easy,Machine Learning,2025-05-06
80,How does the EM (Expectation-Maximization) algorithm work?,Hard,Machine Learning,2024-09-17
81,What is the silhouette score in clustering?,Medium,Machine Learning,2024-08-23
82,What is the difference between hard voting and soft voting in ensemble methods?,Medium,Machine Learning,2025-06-27
83,How would you approach feature scaling and why is it important?,Medium,Machine Learning,2025-05-01
84,What is min-max normalization and how does it differ from standardization?,Medium,Machine Learning,2024-08-05
85,What is the concept of margin in SVM?,Hard,Machine Learning,2024-09-14
86,What is a kernel function and why is it used in SVM?,Easy,Machine Learning,2024-11-27
87,How do you perform stratified sampling?,Easy,Machine Learning,2024-10-22
88,What is the difference between leave-one-out cross-validation and k-fold?,Hard,Machine Learning,2025-02-22
89,What is nested cross-validation?,Medium,Machine Learning,2025-04-03
90,What is the Vapnik-Chervonenkis (VC) dimension?,Hard,Machine Learning,2025-04-01
91,How would you test whether a machine learning model is fair?,Easy,Machine Learning,2024-11-15
92,What is concept drift and how would you address it?,Medium,Machine Learning,2025-02-19
93,What is data augmentation and when is it useful?,Hard,Machine Learning,2024-08-28
94,What is the difference between a weak learner and a strong learner?,Medium,Machine Learning,2024-10-21
95,How would you interpret the coefficients of a linear regression model?,Hard,Machine Learning,2025-02-08
96,What is regularization path in LASSO regression?,Medium,Machine Learning,2024-07-30
97,What is elastic net regularization?,Easy,Machine Learning,2025-02-13
98,How does LightGBM differ from XGBoost?,Hard,Machine Learning,2024-12-11
99,What is a CatBoost model and what makes it handle categorical data well?,Medium,Machine Learning,2025-03-18
100,What is the difference between MAP and MLE estimation?,Easy,Machine Learning,2024-12-22
101,How do you identify and handle data leakage in a machine learning pipeline?,Hard,Machine Learning,2025-03-02
102,What are the assumptions of linear regression?,Easy,Machine Learning,2025-07-20
103,What is multivariate regression?,Easy,Machine Learning,2025-05-09
104,What is the purpose of a validation set versus a test set?,Hard,Machine Learning,2025-07-02
105,How do you perform feature selection using recursive feature elimination?,Medium,Machine Learning,2025-04-04
106,What is shapley value and how is it used for model explainability?,Medium,Machine Learning,2024-10-16
107,What is LIME and how does it explain model predictions?,Medium,Machine Learning,2024-11-03
108,What is the difference between model interpretability and model explainability?,Medium,Machine Learning,2024-12-27
109,What is counterfactual explanation in machine learning?,Hard,Machine Learning,2024-11-17
110,How would you approach anomaly detection in a dataset?,Hard,Machine Learning,2024-08-27
111,What is isolation forest and how does it detect anomalies?,Hard,Machine Learning,2025-05-21
112,What is principal component analysis (PCA)?,Medium,Data Science,2025-05-02
113,How would you approach data cleaning for a large dataset?,Easy,Data Science,2024-08-29
114,How do you handle missing values in a dataset?,Easy,Data Science,2025-01-05
115,What is exploratory data analysis (EDA) and why is it important?,Hard,Data Science,2024-08-27
116,How would you visualize a high-dimensional dataset?,Hard,Data Science,2024-08-23
117,What is the difference between structured and unstructured data?,Hard,Data Science,2025-05-24
118,How do you calculate and interpret correlation between variables?,Medium,Data Science,2025-03-30
119,What is hypothesis testing and how would you apply it?,Medium,Data Science,2025-04-12
120,What is p-value and how should it be interpreted?,Easy,Data Science,2025-04-26
121,What is the difference between descriptive and inferential statistics?,Medium,Data Science,2024-10-17
122,What is the central limit theorem and why is it important?,Medium,Data Science,2024-08-27
123,How would you detect multivariate outliers in a dataset?,Easy,Data Science,2025-04-15
124,What is t-SNE and when would you use it?,Medium,Data Science,2024-09-08
125,What is UMAP and how does it compare to t-SNE?,Hard,Data Science,2024-11-01
126,How do you handle imbalanced datasets in a classification problem?,Medium,Data Science,2024-09-02
127,What is feature importance and how do you compute it?,Medium,Data Science,2025-05-29
128,What is data imputation and what methods would you use?,Medium,Data Science,2024-09-01
129,How would you encode ordinal categorical variables?,Easy,Data Science,2025-07-09
130,What is the difference between population and sample statistics?,Medium,Data Science,2024-11-26
131,How do you perform a chi-square test?,Medium,Data Science,2025-02-20
132,What is ANOVA and when would you use it?,Easy,Data Science,2024-09-28
133,What is the law of large numbers?,Medium,Data Science,2025-05-16
134,What is Bayes' theorem and how is it applied in data science?,Medium,Data Science,2024-12-02
135,How would you design a data pipeline for real-time analytics?,Hard,Data Science,2025-05-21
136,What is a data warehouse and how does it differ from a data lake?,Hard,Data Science,2025-05-29
137,What is ETL and what are the key challenges in ETL pipelines?,Easy,Data Science,2024-08-18
138,How would you approach building a recommendation system?,Hard,Data Science,2025-06-11
139,What is collaborative filtering?,Hard,Data Science,2024-09-08
140,What is content-based filtering?,Medium,Data Science,2025-02-28
141,How would you evaluate a recommendation system?,Easy,Data Science,2025-06-30
142,What is market basket analysis?,Hard,Data Science,2025-05-23
143,What is the Apriori algorithm?,Easy,Data Science,2025-05-14
144,What is the difference between SQL and NoSQL databases?,Easy,Data Science,2025-04-22
145,How would you handle duplicate records in a database?,Medium,Data Science,2025-01-06
146,What is data normalization in databases?,Medium,Data Science,2024-12-09
147,How do you assess data quality?,Hard,Data Science,2024-11-10
148,What is the difference between a left join and an inner join in SQL?,Easy,Data Science,2025-07-06
149,How would you use window functions in SQL?,Medium,Data Science,2025-01-05
150,What is a star schema vs a snowflake schema?,Easy,Data Science,2024-11-28
151,What is Monte Carlo simulation and when is it used?,Hard,Data Science,2024-12-11
152,How do you calculate confidence intervals?,Medium,Data Science,2025-02-16
153,What is time series decomposition?,Easy,Data Science,2024-10-04
154,What is autocorrelation and why does it matter in time series analysis?,Medium,Data Science,2025-07-07
155,How would you perform trend analysis on time series data?,Medium,Data Science,2025-06-24
156,What is the ARIMA model?,Medium,Data Science,2024-12-29
157,What is the difference between correlation and causation?,Easy,Data Science,2025-03-20
158,What is regression to the mean?,Medium,Data Science,2025-01-06
159,How do you calculate and use z-scores?,Hard,Data Science,2024-09-04
160,What is Simpson's paradox?,Hard,Data Science,2024-08-02
161,What is the difference between a histogram and a bar chart?,Medium,Data Science,2025-03-20
162,How does a neural network work?,Hard,Deep Learning,2025-06-12
163,Describe the process of backpropagation.,Easy,Deep Learning,2025-05-13
164,What is the role of activation functions in deep learning?,Hard,Deep Learning,2024-09-18
165,What is a convolutional neural network (CNN) and how does it work?,Medium,Deep Learning,2024-09-04
166,What is a recurrent neural network (RNN) and what problems does it solve?,Hard,Deep Learning,2025-04-30
167,What is the vanishing gradient problem?,Easy,Deep Learning,2024-11-15
168,What is an LSTM and how does it solve the vanishing gradient problem?,Easy,Deep Learning,2025-04-14
169,What is a transformer architecture?,Medium,Deep Learning,2024-12-11
170,What is attention mechanism in deep learning?,Hard,Deep Learning,2024-10-04
171,What is batch normalization and why is it important?,Medium,Deep Learning,2025-01-23
172,What is dropout regularization in neural networks?,Easy,Deep Learning,2024-09-02
173,What is the difference between CNN and fully connected networks?,Medium,Deep Learning,2024-12-01
174,What is a generative adversarial network (GAN)?,Hard,Deep Learning,2025-02-03
175,What is a variational autoencoder (VAE)?,Hard,Deep Learning,2024-12-21
176,What is transfer learning in deep learning?,Easy,Deep Learning,2024-10-17
177,What is fine-tuning a pre-trained model?,Hard,Deep Learning,2025-03-10
178,What is the difference between ReLU and sigmoid activation functions?,Hard,Deep Learning,2025-05-03
179,What is weight initialization and why does it matter?,Hard,Deep Learning,2025-07-24
180,What is the exploding gradient problem and how do you address it?,Medium,Deep Learning,2024-12-30
181,What is residual network (ResNet) and why are skip connections useful?,Easy,Deep Learning,2025-06-07
182,What is the difference between max pooling and average pooling?,Easy,Deep Learning,2025-06-28
183,How does an autoencoder work?,Easy,Deep Learning,2025-04-25
184,What is word2vec and how does it represent words as vectors?,Easy,Deep Learning,2024-08-02
185,What is BERT and how has it changed NLP?,Easy,Deep Learning,2025-07-05
186,What is the difference between encoder-decoder and encoder-only architectures?,Medium,Deep Learning,2025-05-08
187,What is multi-head attention?,Hard,Deep Learning,2024-12-29
188,How do you prevent overfitting in deep neural networks?,Easy,Deep Learning,2025-07-03
189,What is a hyperparameter in deep learning and give examples?,Hard,Deep Learning,2024-09-20
190,What is the Adam optimizer and how does it differ from SGD?,Hard,Deep Learning,2024-10-05
191,What is curriculum learning in deep learning?,Easy,Deep Learning,2024-12-11
192,What is knowledge distillation?,Hard,Deep Learning,2024-09-26
193,What are capsule networks and why were they proposed?,Easy,Deep Learning,2024-09-21
194,What is neural architecture search (NAS)?,Easy,Deep Learning,2025-05-08
195,What is the difference between object detection and image classification?,Easy,Deep Learning,2024-10-16
196,What is YOLO and what makes it fast?,Medium,Deep Learning,2024-12-15
197,What is semantic segmentation?,Hard,Deep Learning,2024-12-20
198,What is a siamese network?,Easy,Deep Learning,2025-06-03
199,What is contrastive learning?,Easy,Deep Learning,2024-11-13
200,What is self-supervised learning?,Hard,Deep Learning,2025-01-20
