Question Number,Question,Answer,Category,Difficulty
99,What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.",System Design,Medium
100,"What is a message broker, and when would you use one?","A message broker facilitates communication in distributed systems through asynchronous messaging, used in event-driven architectures and high-volume scenarios.",System Design,Medium
101,How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.",System Design,Hard
102,How would you design a URL shortening service like bit.ly?,"Consider efficient hashing, collision resolution, database schema, scalability, and API rate limiting.",System Design,Hard
103,How would you design a chat application that can scale to millions of users?,"Consider websocket protocol for real-time communication, efficient message broadcasting, and scalable backend architecture.",System Design,Hard
104,How would you design a scalable notification system for a social network?,"Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.",System Design,Hard
105,How would you design an API rate limiter for a web service?,"Use token bucket or leaky bucket algorithms, consider distributed storage for scalability.",System Design,Hard
106,What is encryption?,Encryption is the process of converting readable data into an unreadable format using an algorithm and a key so only authorized parties can read it.,Security,Easy
107,What is a firewall?,A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predefined security rules.,Security,Easy
108,What is a VPN?,A VPN (Virtual Private Network) encrypts internet traffic and hides a user's IP address to provide privacy and secure remote access.,Security,Easy
109,What is phishing?,Phishing is a cyberattack where attackers disguise themselves as trustworthy entities to trick users into revealing sensitive information.,Security,Easy
110,What is HTTPS and why is it important?,HTTPS encrypts data between a browser and server using SSL/TLS protecting sensitive information from interception during transmission.,Security,Easy
111,"What is SQL injection, and how can it be prevented?","SQL injection exploits vulnerabilities to execute malicious SQL. Prevent with parameterized queries, input validation, and least privilege access.",Security,Medium
112,What is Cross-Site Scripting (XSS)?,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP.",Security,Medium
113,What is the process of password hashing and salting?,"Hashing transforms passwords into hashes using algorithms; salting adds randomness, enhancing security against attacks.",Security,Medium
114,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Security,Medium
115,What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.",Security,Medium
116,What is two-factor authentication (2FA)?,2FA adds extra security by requiring two verification forms: something known (password) and something possessed (device).,Security,Hard
117,What are the principles of least privilege and defense in depth?,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Security,Hard
118,How would you create a secure and scalable authentication system for a web application?,"Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.",Security,Hard
119,How would you design a fraud detection system for online transactions?,"Use machine learning for anomaly detection, implement rule-based systems for known fraud patterns, ensure real-time processing.",Security,Hard
120,How would you design a secure mobile payment system?,"Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.",Security,Hard
121,What is a container in DevOps?,A container is a lightweight isolated environment that packages an application and its dependencies so it runs consistently across different systems.,DevOps,Easy
122,What is CI/CD?,CI/CD stands for Continuous Integration and Continuous Delivery. It automates the building testing and deploying of applications.,DevOps,Easy
123,What is a deployment in DevOps?,A deployment is the process of releasing and installing a new version of an application into a target environment such as production.,DevOps,Easy
124,What is monitoring in DevOps?,Monitoring tracks the health and performance of applications and infrastructure in real time to detect and resolve issues quickly.,DevOps,Easy
125,What is Infrastructure as Code (IaC)?,"IaC manages infrastructure using code, ensuring consistency, automation, and version control in deployments.",DevOps,Easy
126,"What is Docker, and how does it work?","Docker is a containerization platform packaging applications with dependencies, ensuring consistent environments across systems.",DevOps,Medium
127,What is the concept of container orchestration?,"Container orchestration automates deployment, scaling, and management of containers, optimizing resource use and handling failures.",DevOps,Medium
128,"What is Kubernetes, and why is it popular in container management?","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support.",DevOps,Medium
129,What is the importance of automated testing in CI/CD pipelines?,"Automated testing in CI/CD ensures code changes are defect-free, enhancing reliability and speeding up delivery.",DevOps,Medium
130,"What is Blue-Green deployment, and when would you use it?",Blue-Green deployment alternates between two production environments for easy rollbacks and minimal downtime during updates.,DevOps,Medium
131,What is the process of continuous integration and continuous delivery (CI/CD)?,"CI/CD automates build, test, and deployment processes, delivering code changes rapidly and reliably to production.",DevOps,Hard
132,How do you monitor the performance of a web application?,"Monitor using tools to collect and analyze data on response times, resource utilization, error rates, and user experience.",DevOps,Hard
133,What is the role of a configuration management tool like Ansible?,"Configuration management tools automate provisioning and management of software and infrastructure, ensuring consistency and efficiency.",DevOps,Hard
134,"What are the benefits of using a cloud platform like AWS, Azure, or Google Cloud?","Cloud platforms offer scalability, cost-efficiency, global reach, and managed services, reducing operational burdens with security and compliance features.",DevOps,Hard
135,What is the difference between horizontal and vertical scaling?,"Horizontal scaling adds more machines to distribute load; vertical scaling increases the resources of an existing machine. Horizontal is preferred for high availability.",DevOps,Hard
136,What is machine learning?,Machine learning is a subset of AI where systems learn from data to make predictions or decisions without being explicitly programmed.,Machine Learning,Easy
137,What is supervised learning?,Supervised learning trains a model on labeled data where the correct output is provided so the model learns to map inputs to outputs.,Machine Learning,Easy
138,What is unsupervised learning?,Unsupervised learning trains a model on unlabeled data to find hidden patterns or groupings without predefined correct answers.,Machine Learning,Easy
139,What is a training dataset?,A training dataset is the labeled data used to teach a machine learning model by adjusting its parameters to minimize prediction errors.,Machine Learning,Easy
140,What is overfitting in machine learning?,Overfitting occurs when a model learns the training data too well including its noise and performs poorly on new unseen data.,Machine Learning,Easy
141,What is the difference between classification and regression?,"Classification predicts a discrete category label; regression predicts a continuous numerical value. Both are supervised learning tasks.",Machine Learning,Medium
142,What is cross-validation in machine learning?,"Cross-validation evaluates model performance by splitting data into multiple folds, training on some and testing on others, reducing overfitting risk.",Machine Learning,Medium
143,What is a confusion matrix?,A confusion matrix is a table showing the counts of true positives and negatives and false positives and negatives for a classification model.,Machine Learning,Medium
144,What is feature engineering?,"Feature engineering is the process of selecting, transforming, and creating input variables to improve a machine learning model's performance.",Machine Learning,Medium
145,What is the bias-variance tradeoff?,"The bias-variance tradeoff balances underfitting (high bias) and overfitting (high variance), aiming for a model that generalizes well to new data.",Machine Learning,Medium
146,How would you design a recommendation system for a large e-commerce platform?,"Use collaborative filtering, content-based filtering, or hybrid methods; consider scalability and real-time processing.",Machine Learning,Hard
147,How would you develop a machine learning model to predict stock prices?,"Consider time series analysis, regression models, and reinforcement learning; pay attention to features and data preprocessing.",Machine Learning,Hard
148,How would you develop a deep learning model to analyze and interpret medical images?,"Use convolutional neural networks, pay attention to dataset quality and preprocessing, and handle class imbalances.",Machine Learning,Hard
149,How would you implement a natural language processing algorithm to understand and answer user queries?,"Use NLP techniques like tokenization, parsing, and deep learning models for understanding and generating responses.",Machine Learning,Hard
150,How would you develop a machine learning algorithm to detect fake news on social media?,"Use NLP for text analysis, implement classification algorithms, and consider the challenge of unstructured data.",Machine Learning,Hard
151,What is a neural network?,A neural network is a machine learning model inspired by the brain consisting of layers of interconnected nodes that process and transform input data.,Deep Learning,Easy
152,What is an activation function in deep learning?,An activation function introduces non-linearity into a neural network allowing it to learn complex patterns. Examples include ReLU and sigmoid.,Deep Learning,Easy
153,What is backpropagation?,Backpropagation is the algorithm used to train neural networks by calculating gradients of the loss function and updating weights to minimize error.,Deep Learning,Easy
154,What is a convolutional neural network (CNN)?,"A CNN is a deep learning model designed for image data that uses convolutional layers to automatically detect features like edges, shapes, and textures.",Deep Learning,Easy
155,What is a recurrent neural network (RNN)?,"An RNN is a neural network designed for sequential data where outputs from previous steps are fed as inputs to the current step, useful for time series and NLP.",Deep Learning,Easy
156,What is the difference between a CNN and an RNN?,"CNNs are designed for spatial data like images using convolutional filters; RNNs process sequential data using hidden states that carry information across time steps.",Deep Learning,Medium
157,What is transfer learning in deep learning?,"Transfer learning reuses a pre-trained model on a new but related task, saving training time and improving performance with limited data.",Deep Learning,Medium
158,What is the vanishing gradient problem?,The vanishing gradient problem occurs when gradients become very small during backpropagation in deep networks making early layers learn very slowly.,Deep Learning,Medium
159,What is batch normalization?,"Batch normalization normalizes the inputs of each layer within a mini-batch, stabilizing training, accelerating convergence, and reducing sensitivity to initialization.",Deep Learning,Medium
160,What is dropout in neural networks?,"Dropout is a regularization technique that randomly deactivates a fraction of neurons during training, preventing overfitting by reducing co-dependency between neurons.",Deep Learning,Medium
161,How would you design a deep learning model for real-time object detection?,"Use architectures like YOLO or SSD for speed, optimize with quantization and pruning for inference, and train on large annotated datasets.",Deep Learning,Hard
162,What is an attention mechanism in deep learning?,"Attention mechanisms allow models to focus on relevant parts of the input when making predictions, improving performance in NLP and vision tasks.",Deep Learning,Hard
163,What is a transformer model and how does it work?,"A transformer uses self-attention to process entire sequences in parallel, replacing recurrence, and is the foundation of models like BERT and GPT.",Deep Learning,Hard
164,How would you handle class imbalance in a deep learning model?,"Use techniques like oversampling, undersampling, class weights, data augmentation, and focal loss to handle imbalanced datasets.",Deep Learning,Hard
165,What is generative adversarial network (GAN)?,"A GAN consists of a generator that creates fake samples and a discriminator that distinguishes real from fake; both train adversarially to improve each other.",Deep Learning,Hard
166,What is a data pipeline?,A data pipeline is a series of automated steps that collect transform and move data from source systems to a destination for storage or analysis.,Data Engineering,Easy
167,What is ETL?,ETL stands for Extract Transform Load. It is the process of extracting data from sources transforming it into a usable format and loading it into a destination.,Data Engineering,Easy
168,What is a data warehouse?,A data warehouse is a centralized repository that stores structured historical data from multiple sources optimized for querying and reporting.,Data Engineering,Easy
169,What is a data lake?,A data lake is a centralized repository that stores raw structured and unstructured data at scale until it is needed for analysis.,Data Engineering,Easy
170,What is Apache Kafka?,Apache Kafka is a distributed event streaming platform used for building real-time data pipelines and streaming applications at scale.,Data Engineering,Easy
171,What is the difference between batch processing and stream processing?,Batch processing handles large data sets at scheduled intervals; stream processing handles data continuously in real-time as it arrives.,Data Engineering,Medium
172,What is Apache Spark and what problems does it solve?,"Apache Spark is a distributed data processing framework that provides fast, in-memory computation for large-scale data analytics and machine learning workloads.",Data Engineering,Medium
173,What is data partitioning in distributed systems?,"Data partitioning divides a dataset into smaller chunks distributed across nodes, improving parallelism, scalability, and query performance.",Data Engineering,Medium
174,What is schema-on-read vs schema-on-write?,"Schema-on-write enforces structure when data is stored (traditional databases); schema-on-read applies structure at query time, common in data lakes.",Data Engineering,Medium
175,What is data lineage?,"Data lineage tracks the origin, movement, and transformation of data through a pipeline, enabling auditability and debugging of data quality issues.",Data Engineering,Medium
176,How would you design a data pipeline for processing big data in real-time?,"Utilize stream processing frameworks (like Apache Kafka, Spark Streaming), ensure fault tolerance, and manage backpressure.",Data Engineering,Hard
177,How would you create a real-time sports analytics system using sensor data?,"Utilize streaming data processing, machine learning for pattern recognition, and efficient data storage solutions.",Data Engineering,Hard
178,What is the CAP theorem and how does it affect data engineering decisions?,"CAP theorem states you can only guarantee two of consistency, availability, and partition tolerance; this guides choices between databases like Cassandra vs PostgreSQL.",Data Engineering,Hard
179,How would you optimize a slow ETL pipeline handling billions of records?,"Use parallel processing, incremental loading, columnar storage, partitioning, and pushdown optimization to reduce data movement and processing time.",Data Engineering,Hard
180,How would you design a fault-tolerant data ingestion system?,"Implement idempotent writes, dead letter queues for failed records, checkpointing, and retry logic to ensure no data loss during failures.",Data Engineering,Hard
181,What is an algorithm?,An algorithm is a step-by-step set of instructions or rules designed to solve a specific problem or perform a computation.,Algorithms,Easy
182,What is a sorting algorithm?,A sorting algorithm arranges elements of a list in a specified order such as ascending or descending. Examples include bubble sort and merge sort.,Algorithms,Easy
183,What is linear search?,Linear search sequentially checks each element in a list until the target is found or the list ends. It has O(n) time complexity.,Algorithms,Easy
184,What is binary search?,Binary search finds a target in a sorted array by repeatedly halving the search space. It has O(log n) time complexity.,Algorithms,Easy
185,What is the difference between a greedy algorithm and dynamic programming?,"Greedy algorithms make locally optimal choices at each step; dynamic programming solves subproblems and stores results to avoid recomputation.",Algorithms,Easy
186,How do you implement a function to check if a binary tree is balanced?,Use a recursive function to check the height of each subtree; return false if the difference is more than one.,Algorithms,Medium
187,How do you write an algorithm to find the median of a stream of numbers?,"Use two heaps (max heap for lower half, min heap for upper half) to maintain the median.",Algorithms,Medium
188,How do you find the Kth largest element in a stream of numbers?,"Utilize a min-heap to keep track of the K largest elements, ensuring efficient insertion and extraction.",Algorithms,Medium
189,What is the difference between merge sort and quicksort?,"Merge sort is stable with O(n log n) worst case using divide and conquer with extra space; quicksort is in-place with O(n log n) average but O(n²) worst case.",Algorithms,Medium
190,What is Dijkstra's algorithm used for?,Dijkstra's algorithm finds the shortest path from a source node to all other nodes in a weighted graph with non-negative edge weights.,Algorithms,Medium
191,How would you implement Google's PageRank algorithm?,Use graph-based algorithms focusing on eigenvector calculation and iterative approaches.,Algorithms,Hard
192,How would you optimize a search algorithm for a large dataset in a distributed environment?,Implement distributed searching algorithms like MapReduce for scalability and efficiency.,Algorithms,Hard
193,How would you create an efficient algorithm for real-time anomaly detection in network traffic?,Implement statistical models or machine learning algorithms to detect unusual patterns indicative of anomalies.,Algorithms,Hard
194,How would you develop an autonomous vehicle's path planning algorithm?,"Implement algorithms considering real-time obstacle avoidance, dynamic path adjustments, and efficient routing.",Algorithms,Hard
195,How would you implement a robust text editor with features like auto-complete and syntax highlighting?,"Consider efficient data structures for text storage (like gap buffers), and algorithms for syntax parsing.",Algorithms,Hard
196,What is eventual consistency in distributed systems?,"Eventual consistency guarantees that, given no new updates, all replicas in a distributed system will converge to the same value over time.",Distributed Systems,Medium
197,What is the two-phase commit protocol?,"Two-phase commit is a distributed algorithm ensuring all nodes in a transaction either commit or rollback, preventing partial updates across systems.",Distributed Systems,Hard
198,What is service discovery in a microservices architecture?,"Service discovery enables microservices to find and communicate with each other dynamically without hardcoded network locations, using tools like Consul or Eureka.",Distributed Systems,Medium
199,How does the Raft consensus algorithm work?,"Discuss leader election, log replication, safety, and how Raft achieves consensus in a distributed system.",Distributed Systems,Hard
200,What is database sharding and when would you use it?,Sharding horizontally partitions data across multiple databases to improve scalability and performance in high-volume applications.,Database Systems,Hard
